Order,Player,Club,Nationality,Percent,Year,Position
1,LuÃ­s Figo,Barcelona /  Real    Madrid,Portugal,25.751633986928102,2000,
2,Zinedine Zidane,Juventus,France,23.660130718954246,2000,
3,Andriy Shevchenko,Milan,Ukraine,11.11111111111111,2000,
4,Thierry Henry,Arsenal,France,7.450980392156863,2000,
5,Alessandro Nesta,Lazio,Italy,5.098039215686274,2000,
6,Rivaldo,Barcelona,Brazil,5.098039215686274,2000,
7,Gabriel Batistuta,Roma,Argentina,3.3986928104575163,2000,
8,Gaizka Mendieta,Valencia,Spain,2.8758169934640523,2000,
9,RaÃºl,Real Madrid,Spain,2.3529411764705883,2000,
10,Paolo Maldini,Milan,Italy,1.3071895424836601,2000,
,David Beckham,Manchester United,England,1.3071895424836601,2000,
12,Zlatko ZahoviÄ,Olympiacos / Valencia,Slovenia,1.045751633986928,2000,
,Fabien Barthez,Manchester United,France,1.045751633986928,2000,
14,Francesco Toldo,Fiorentina,Italy,0.9150326797385622,2000,
,Francesco Totti,Roma,Italy,0.9150326797385622,2000,
,Roberto Carlos,Real Madrid,Brazil,0.9150326797385622,2000,
17,Patrick Kluivert,Barcelona,Netherlands,0.7843137254901961,2000,
18,Edgar Davids,Juventus,Netherlands,0.6535947712418301,2000,
,Hakan ÅÃ¼kÃ¼r,Internazionale,Turkey,0.6535947712418301,2000,
,MÃ¡rio Jardel,Galatasaray,Brazil,0.6535947712418301,2000,
,Fernando Redondo,Real Madrid /Milan,Argentina,0.6535947712418301,2000,
22,Pavel NedvÄd,Lazio,Czech Republic,0.522875816993464,2000,
,David Trezeguet,Juventus,France,0.522875816993464,2000,
24,Marcel Desailly,Chelsea,France,0.261437908496732,2000,
,Oliver Kahn,Bayern Munich,Germany,0.261437908496732,2000,
,Rui Costa,Fiorentina,Portugal,0.261437908496732,2000,
27,Laurent Blanc,Internazionale,France,0.130718954248366,2000,
,Claudio LÃ³pez,Valencia / Lazio,Argentina,0.130718954248366,2000,
,Roy Keane,Manchester United,Republic of Ireland,0.130718954248366,2000,
,Juan SebastiÃ¡n VerÃ³n,Lazio,Argentina,0.130718954248366,2000,
1,Michael Owen,Liverpool,England,23.00653594771242,2001,
2,RaÃºl,Real Madrid,Spain,18.30065359477124,2001,
3,Oliver Kahn,Bayern Munich,Germany,14.901960784313726,2001,
4,David Beckham,Manchester United,England,13.333333333333334,2001,
5,Francesco Totti,A.S. Roma,Italy,7.450980392156863,2001,
6,LuÃ­s Figo,Real Madrid,Portugal,7.320261437908497,2001,
7,Rivaldo,Barcelona,Brazil,2.6143790849673203,2001,
8,Andriy Shevchenko,Milan,Ukraine,2.3529411764705883,2001,
9,Thierry Henry,Arsenal,France,1.8300653594771243,2001,
,Zinedine Zidane,Real Madrid,France,1.8300653594771243,2001,
11,Bixente Lizarazu,Bayern Munich,France,1.3071895424836601,2001,
12,David Trezeguet,Juventus,France,0.9150326797385622,2001,
13,Stefan Effenberg,Bayern Munich,Germany,0.7843137254901961,2001,
14,Henrik Larsson,Celtic,Sweden,0.522875816993464,2001,
,Alessandro Nesta,Lazio,Italy,0.522875816993464,2001,
16,Juan SebastiÃ¡n VerÃ³n,Lazio /     Manchester United,Argentina,0.39215686274509803,2001,
,HernÃ¡n Crespo,Lazio,Argentina,0.39215686274509803,2001,
18,Giovane Ãlber,Bayern Munich,Brazil,0.261437908496732,2001,
,Gaizka Mendieta,Valencia / Lazio,Spain,0.261437908496732,2001,
,Roberto Carlos,Real Madrid,Brazil,0.261437908496732,2001,
,Damiano Tommasi,Roma,Italy,0.261437908496732,2001,
,Sami HyypiÃ¤,Liverpool,Finland,0.261437908496732,2001,
,Emmanuel Olisadebe,Panathinaikos,Poland,0.261437908496732,2001,
,Ebbe Sand,Schalke 04,Denmark,0.261437908496732,2001,
25,Roberto Baggio,Brescia,Italy,0.130718954248366,2001,
,Steven Gerrard,Liverpool,England,0.130718954248366,2001,
,Rui Costa,Milan,Portugal,0.130718954248366,2001,
28,Sonny Anderson,Lyon,Brazil,0.0,2001,
,Fabien Barthez,Manchester United,France,0.0,2001,
,Gabriel Batistuta,Roma,Argentina,0.0,2001,
,Gianluigi Buffon,Parma / Juventus,Italy,0.0,2001,
,Cafu,Roma,Brazil,0.0,2001,
,Vincent Candela,Roma,France,0.0,2001,
,Alessandro Del Piero,Juventus,Italy,0.0,2001,
,Marcel Desailly,Chelsea,France,0.0,2001,
,Rio Ferdinand,Leeds United,England,0.0,2001,
,Ryan Giggs,Manchester United,Wales,0.0,2001,
,Jimmy Floyd Hasselbaink,Chelsea,Netherlands,0.0,2001,
,IvÃ¡n Helguera,Real Madrid,Spain,0.0,2001,
,Harry Kewell,Leeds United,Australia,0.0,2001,
,Patrick Kluivert,Barcelona,Netherlands,0.0,2001,
,Samuel Kuffour,Bayern Munich,Ghana,0.0,2001,
,Hidetoshi Nakata,Roma / Parma,Japan,0.0,2001,
,Pavel NedvÄd,Lazio / Juventus,Czech Republic,0.0,2001,
,Pauleta,Bordeaux,Portugal,0.0,2001,
,Robert Pires,Arsenal,France,0.0,2001,
,Paul Scholes,Manchester United,England,0.0,2001,
,Lilian Thuram,Parma / Juventus,France,0.0,2001,
,Patrick Vieira,Arsenal,France,0.0,2001,
,Eric CarriÃ¨re,Nantes,France,0.0,2001,
1,Ronaldo,Internazionale /     Real Madrid,Brazil,21.666666666666668,2002,
2,Roberto Carlos,Real Madrid,Brazil,18.58974358974359,2002,
3,Oliver Kahn,Bayern Munich,Germany,14.102564102564102,2002,
4,Zinedine Zidane,Real Madrid,France,10.0,2002,
5,Michael Ballack,Bayer Leverkusen /     Bayern Munich,Germany,9.102564102564102,2002,
6,Thierry Henry,Arsenal,France,6.923076923076923,2002,
7,RaÃºl,Real Madrid,Spain,4.871794871794872,2002,
8,Rivaldo,Barcelona / Milan,Brazil,3.974358974358974,2002,
9,YÄ±ldÄ±ray BaÅtÃ¼rk,Bayer Leverkusen,Turkey,1.6666666666666667,2002,
10,Alessandro Del Piero,Juventus,Italy,1.5384615384615385,2002,
11,Hasan ÅaÅ,Galatasaray,Turkey,1.282051282051282,2002,
12,Ronaldinho,Paris Saint-Germain,Brazil,1.0256410256410255,2002,
13,Michael Owen,Liverpool,England,0.641025641025641,2002,
,Ruud van Nistelrooy,Manchester United,Netherlands,0.641025641025641,2002,
15,Bernd Schneider,Bayer Leverkusen,Germany,0.5128205128205128,2002,
,Juan Carlos ValerÃ³n,Deportivo La CoruÃ±a,Spain,0.5128205128205128,2002,
,Cafu,Roma,Brazil,0.5128205128205128,2002,
,Patrick Vieira,Arsenal,France,0.5128205128205128,2002,
19,LÃºcio,Bayer Leverkusen,Brazil,0.38461538461538464,2002,
,LuÃ­s Figo,Real Madrid,Portugal,0.38461538461538464,2002,
21,Papa Bouba Diop,Lens,Senegal,0.2564102564102564,2002,
,El Hadji Diouf,Lens / Liverpool,Senegal,0.2564102564102564,2002,
,Rio Ferdinand,Leeds United /     Manchester United,England,0.2564102564102564,2002,
24,RubÃ©n Baraja,Valencia,Spain,0.1282051282051282,2002,
,Filippo Inzaghi,Milan,Italy,0.1282051282051282,2002,
,Roy Makaay,Deportivo La CoruÃ±a,Netherlands,0.1282051282051282,2002,
1,Pavel NedvÄd,Juventus,Czech Republic,24.358974358974358,2003,
2,Thierry Henry,Arsenal,France,16.41025641025641,2003,
3,Paolo Maldini,Milan,Italy,15.769230769230768,2003,
4,Andriy Shevchenko,Milan,Ukraine,8.58974358974359,2003,
5,Zinedine Zidane,Real Madrid,France,8.205128205128204,2003,
6,Ruud van Nistelrooy,Manchester United,Netherlands,7.82051282051282,2003,
7,RaÃºl,Real Madrid,Spain,4.102564102564102,2003,
8,Roberto Carlos,Real Madrid,Brazil,3.4615384615384617,2003,
9,Gianluigi Buffon,Juventus,Italy,2.435897435897436,2003,
10,David Beckham,Manchester United /     Real Madrid,England,2.1794871794871793,2003,
11,Ronaldo,Real Madrid,Brazil,1.4102564102564104,2003,
12,Henrik Larsson,Celtic,Sweden,0.7692307692307693,2003,
13,Alessandro Del Piero,Juventus,Italy,0.5128205128205128,2003,
,Dida,Milan,Brazil,0.5128205128205128,2003,
,Roy Makaay,Deportivo La CoruÃ±a /     Bayern Munich,Netherlands,0.5128205128205128,2003,
,Alessandro Nesta,Milan,Italy,0.5128205128205128,2003,
,Deco,Porto,Portugal,0.5128205128205128,2003,
18,Nihat Kahveci,Real Sociedad,Turkey,0.38461538461538464,2003,
,Francesco Totti,Roma,Italy,0.38461538461538464,2003,
20,Michael Ballack,Bayern Munich,Germany,0.2564102564102564,2003,
,Zlatan IbrahimoviÄ,Ajax,Sweden,0.2564102564102564,2003,
22,Filippo Inzaghi,Milan,Italy,0.1282051282051282,2003,
,Jan Koller,Borussia Dortmund,Czech Republic,0.1282051282051282,2003,
,Adrian Mutu,Parma /  Chelsea,Romania,0.1282051282051282,2003,
,Ronaldinho,Paris Saint-Germain /     Barcelona,Brazil,0.1282051282051282,2003,
,Francesco Toldo,Internazionale,Italy,0.1282051282051282,2003,
1,Andriy Shevchenko,Milan,Ukraine,22.435897435897438,2004,
2,Deco,Porto / Barcelona,Portugal,17.82051282051282,2004,
3,Ronaldinho,Barcelona,Brazil,17.05128205128205,2004,
4,Thierry Henry,Arsenal,France,10.256410256410255,2004,
5,Theodoros Zagorakis,AEK Athens / Bologna,Greece,5.641025641025641,2004,
6,Adriano,Parma / Internazionale,Brazil,3.4615384615384617,2004,
7,Pavel NedvÄd,Juventus,Czech Republic,2.9487179487179485,2004,
8,Wayne Rooney,Everton /     Manchester United,England,2.8205128205128207,2004,
9,Ricardo Carvalho,Porto / Chelsea,Portugal,2.307692307692308,2004,
,Ruud van Nistelrooy,Manchester United,Netherlands,2.307692307692308,2004,
11,Angelos Charisteas,Werder Bremen,Greece,1.9230769230769231,2004,
12,Cristiano Ronaldo,Manchester United,Portugal,1.4102564102564104,2004,
,Milan BaroÅ¡,Liverpool,Czech Republic,1.4102564102564104,2004,
14,Zlatan IbrahimoviÄ,Ajax / Juventus,Sweden,1.0256410256410255,2004,
15,Samuel Eto'o,Mallorca / Barcelona,Cameroon,0.8974358974358974,2004,
,KakÃ¡,Milan,Brazil,0.8974358974358974,2004,
17,Traianos Dellas,Roma,Greece,0.641025641025641,2004,
,Fernando Morientes,Monaco /  Real    Madrid,Spain,0.641025641025641,2004,
,Frank Lampard,Chelsea,England,0.641025641025641,2004,
,Didier Drogba,Marseille / Chelsea,Ivory Coast,0.641025641025641,2004,
,Gianluigi Buffon,Juventus,Italy,0.641025641025641,2004,
22,LuÃ­s Figo,Real Madrid,Portugal,0.5128205128205128,2004,
23,Zinedine Zidane,Real Madrid,France,0.38461538461538464,2004,
24,RubÃ©n Baraja,Valencia,Spain,0.2564102564102564,2004,
,Ludovic Giuly,Monaco / Barcelona,France,0.2564102564102564,2004,
,Maniche,Porto,Portugal,0.2564102564102564,2004,
,Antonios Nikopolidis,Panathinaikos /    Olympiacos,Greece,0.2564102564102564,2004,
28,Paolo Maldini,Milan,Italy,0.1282051282051282,2004,
,Vicente,Valencia,Spain,0.1282051282051282,2004,
1,Ronaldinho,Barcelona,Brazil,28.846153846153843,2005,
2,Frank Lampard,Chelsea,England,18.974358974358974,2005,
3,Steven Gerrard,Liverpool,England,18.205128205128204,2005,
4,Thierry Henry,Arsenal,France,5.256410256410256,2005,
5,Andriy Shevchenko,Milan,Ukraine,4.230769230769231,2005,
6,Paolo Maldini,Milan,Italy,2.9487179487179485,2005,
7,Adriano,Internazionale,Brazil,2.8205128205128207,2005,
8,Zlatan IbrahimoviÄ,Juventus,Sweden,2.6923076923076925,2005,
9,KakÃ¡,Milan,Brazil,2.435897435897436,2005,
10,Samuel Eto'o,Barcelona,Cameroon,2.307692307692308,2005,
11,John Terry,Chelsea,England,2.307692307692308,2005,
12,Juninho,Lyon,Brazil,1.9230769230769231,2005,
13,Claude MakÃ©lÃ©lÃ©,Chelsea,France,1.0256410256410255,2005,
14,Juan RomÃ¡n Riquelme,Villarreal,Argentina,0.8974358974358974,2005,
15,Petr Äech,Chelsea,Czech Republic,0.8974358974358974,2005,
16,Didier Drogba,Chelsea,Ivory Coast,0.8974358974358974,2005,
17,Michael Ballack,Bayern Munich,Germany,0.8974358974358974,2005,
18,Zinedine Zidane,Real Madrid,France,0.641025641025641,2005,
19,Gianluigi Buffon,Juventus,Italy,0.5128205128205128,2005,
20,Jamie Carragher,Liverpool,England,0.38461538461538464,2005,
21,Cristiano Ronaldo,Manchester United,Portugal,0.38461538461538464,2005,
22,Michael Essien,Lyon / Chelsea,Ghana,0.2564102564102564,2005,
23,Luis GarcÃ­a,Liverpool,Spain,0.1282051282051282,2005,
24,Pavel NedvÄd,Juventus,Czech Republic,0.1282051282051282,2005,
1,Fabio Cannavaro,Juventus,Italy,22.17948717948718,2006,
2,Gianluigi Buffon,Juventus,Italy,15.897435897435896,2006,
3,Thierry Henry,Arsenal,France,15.512820512820513,2006,
4,Ronaldinho,Barcelona,Brazil,9.35897435897436,2006,
5,Zinedine Zidane,Real Madrid,France,9.102564102564102,2006,
6,Samuel Eto'o,Barcelona,Cameroon,8.58974358974359,2006,
7,Miroslav Klose,Werder Bremen,Germany,3.717948717948718,2006,
8,Didier Drogba,Chelsea,CÃ´te d'Ivoire,3.205128205128205,2006,
9,Andrea Pirlo,Milan,Italy,2.1794871794871793,2006,
10,Jens Lehmann,Arsenal,Germany,1.6666666666666667,2006,
11,Deco,Barcelona,Portugal,1.4102564102564104,2006,
12,KakÃ¡,Milan,Brazil,1.4102564102564104,2006,
13,Franck RibÃ©ry,Marseille,France,1.153846153846154,2006,
14,Gennaro Gattuso,Milan,Italy,0.641025641025641,2006,
15,Patrick Vieira,Juventus / Internazionale,France,0.641025641025641,2006,
16,Cristiano Ronaldo,Manchester United F.C.,Portugal,0.641025641025641,2006,
17,Frank Lampard,Chelsea,England,0.38461538461538464,2006,
18,Lukas Podolski,1. FC KÃ¶ln / Bayern Munich,Germany,0.38461538461538464,2006,
19,Carles Puyol,Barcelona,Spain,0.38461538461538464,2006,
20,Juninho,Lyon,Brazil,0.2564102564102564,2006,
21,Lionel Messi,FC Barcelona,Argentina,0.2564102564102564,2006,
22,Luca Toni,Fiorentina,Italy,0.2564102564102564,2006,
23,John Terry,Chelsea,England,0.2564102564102564,2006,
24,Gianluca Zambrotta,Juventus / Barcelona,Italy,0.2564102564102564,2006,
25,Philipp Lahm,Bayern Munich,Germany,0.1282051282051282,2006,
26,David Villa,Valencia,Spain,0.1282051282051282,2006,
1,KakÃ¡,Milan,Brazil,30.838530838530836,2007,
2,Cristiano Ronaldo,Manchester United,Portugal,19.196119196119195,2007,
3,Lionel Messi,Barcelona,Argentina,17.671517671517673,2007,
4,Didier Drogba,Chelsea,Ivory Coast,7.484407484407485,2007,
5,Andrea Pirlo,Milan,Italy,2.8413028413028414,2007,
6,Ruud van Nistelrooy,Real Madrid,Netherlands,2.7027027027027026,2007,
7,Zlatan IbrahimoviÄ,Internazionale,Sweden,2.148302148302148,2007,
8,Cesc FÃ bregas,Arsenal,Spain,1.8711018711018712,2007,
9,Robinho,Real Madrid,Brazil,1.6632016632016633,2007,
10,Francesco Totti,Roma,Italy,1.386001386001386,2007,
11,FrÃ©dÃ©ric KanoutÃ©,Sevilla,Mali,1.3167013167013166,2007,
12,Ronaldinho,Barcelona,Brazil,1.2474012474012475,2007,
13,Steven Gerrard,Liverpool,England,1.178101178101178,2007,
14,Juan RomÃ¡n Riquelme,Villarreal /     Boca Juniors,Argentina,1.0395010395010396,2007,
15,Dani Alves,Sevilla,Brazil,0.9702009702009702,2007,
16,Filippo Inzaghi,Milan,Italy,0.8316008316008316,2007,
